Passager_ID,Date_Heure_Debut_Parcours,Vol,Siege,Porte,Aeroport_Depart,Aeroport_Arrivee,Heure_Decollage,Heure_Atterrissage,Entree_Terminal,Enregistrement,Controle_Securite,Controle_Passeport,Duty_Free,Porte_Embarquement,Recuperation_Bagages,Sortie_Aeroport
P00001,2025-01-03 17:02:00,427m,28B,D14,NCE,JFK,2025-01-03 19:26:32.141697,2025-01-04 02:33:31.587605,7m,17m,23m,10m,30m,38m,48m,11m
P00002,2025-01-03 18:53:00,89m,29C,F2,BOD,NCE,2025-01-03 21:22:37.316698,2025-01-03 22:51:43.169957,8m,15m,25m,7m,31m,41m,54m,10m
P00003,2025-01-24 04:14:00,85m,10D,F15,LYS,ORY,2025-01-24 06:37:57.172652,2025-01-24 08:02:33.128264,8m,10m,23m,4m,22m,36m,24m,9m
P00004,2025-01-21 06:09:00,502m,2A,D21,NCE,FRA,2025-01-21 09:00:55.176204,2025-01-21 17:22:38.953019,6m,33m,16m,16m,29m,45m,54m,10m
P00005,2025-01-30 18:47:00,73m,12F,G18,CDG,NCE,2025-01-30 21:16:19.406895,2025-01-30 22:29:22.928656,7m,17m,34m,5m,30m,27m,22m,7m
P00006,2025-01-09 20:38:00,335m,7C,F18,CDG,LHR,2025-01-09 22:54:56.595463,2025-01-10 04:29:51.659823,7m,11m,15m,9m,17m,36m,31m,16m
P00007,2025-01-23 06:02:00,80m,19E,D18,CDG,LYS,2025-01-23 07:56:26.450404,2025-01-23 09:16:52.744737,9m,13m,16m,6m,21m,36m,42m,10m
P00008,2025-01-07 04:00:00,55m,28A,C20,LYS,NCE,2025-01-07 05:25:39.486092,2025-01-07 06:21:02.640133,4m,8m,16m,2m,21m,21m,11m,8m
P00009,2025-01-14 20:38:00,276m,11F,E11,CDG,FRA,2025-01-14 23:18:43.062142,2025-01-15 03:55:02.666028,6m,19m,36m,16m,22m,22m,30m,10m
P00010,2025-01-10 13:33:00,416m,6D,B26,BOD,FCO,2025-01-10 15:44:31.736025,2025-01-10 22:40:16.236174,5m,25m,17m,19m,25m,28m,26m,11m
P00011,2025-01-05 19:37:00,309m,36A,G23,CDG,DXB,2025-01-05 23:33:38.450687,2025-01-06 04:42:53.217676,10m,22m,46m,22m,51m,42m,27m,23m
P00012,2025-01-16 08:07:00,493m,12B,G30,LYS,AMS,2025-01-16 11:15:19.163089,2025-01-16 19:28:40.771345,7m,22m,26m,18m,42m,35m,19m,11m
P00013,2025-01-26 17:42:00,,6C,A21,CDG,AMS,2025-01-26 21:09:26.262720,2025-01-27 03:02:22.048350,8m,IN (10m),,,,,,
P00014,2025-01-01 21:15:00,322m,33C,B14,CDG,FRA,2025-01-01 23:15:24.697557,2025-01-02 04:37:26.621205,6m,23m,15m,9m,8m,23m,22m,6m
P00015,2025-01-15 11:43:00,97m,34E,B27,ORY,NCE,2025-01-15 13:38:20.714025,2025-01-15 15:15:30.325244,5m,13m,28m,9m,16m,28m,26m,9m
P00016,2025-01-22 01:17:00,135m,24D,G20,CDG,LYS,2025-01-22 02:57:15.043952,2025-01-22 05:12:15.399821,7m,12m,20m,3m,21m,24m,32m,9m
P00017,2025-01-21 19:40:00,74m,17F,G21,CDG,LYS,2025-01-21 21:46:04.024876,2025-01-21 23:00:25.917903,9m,16m,15m,4m,23m,28m,19m,8m
