time_spent_current_step,active_users_in_step,avg_step_duration,hour_of_day,airport_BOD,airport_CDG,airport_DXB,airport_FCO,airport_FRA,airport_JFK,airport_LHR,airport_LYS,airport_MAD,airport_NCE,airport_ORY,flight_type_international,target_time_remaining,event_observed,current_step,passenger_id,entry_time
240.06,94,673.05,18,False,False,False,False,True,False,False,False,False,False,False,True,18.61,1,7,P00001,2025-01-03T18:34
6.36,45,19.96,4,False,False,False,True,False,False,False,False,False,False,False,True,18.62,1,5,P00002,2025-01-14T04:22
39.43,91,109.23,8,False,True,False,False,False,False,False,False,False,False,False,False,28.52,0,7,P00003,2025-01-22T08:30
3.28,32,6.12,19,False,False,False,False,False,False,False,True,False,False,False,False,1.75,1,1,P00004,2025-01-30T19:05
5.38,27,19.47,19,False,False,False,False,False,False,False,False,True,False,False,True,11.39,0,2,P00005,2025-01-14T19:18
2.89,33,9.94,12,False,False,False,False,False,False,True,False,False,False,False,True,3.21,1,1,P00006,2025-01-12T12:08
20.25,48,30.67,7,False,False,False,False,True,False,False,False,False,False,False,True,4.5,1,3,P00007,2025-01-24T07:17
19.61,22,31.25,3,False,False,False,False,False,False,True,False,False,False,False,True,5.45,1,6,P00008,2025-01-01T03:01
8.5,17,12.72,3,False,False,False,False,False,False,False,False,True,False,False,True,13.13,1,2,P00009,2025-01-22T03:52
25.74,32,26.85,8,False,False,False,True,False,False,False,False,False,False,False,True,2.17,1,8,P00010,2025-01-16T08:08
2.86,22,12.47,21,False,False,False,False,False,False,False,False,False,False,True,False,10.8,1,2,P00011,2025-01-14T21:39
1.64,25,13.75,3,False,False,False,False,True,False,False,False,False,False,False,True,17.1,1,5,P00012,2025-01-14T03:21
1.46,36,23.88,4,False,False,False,False,False,False,False,False,False,True,False,False,19.19,1,5,P00013,2025-01-24T04:05
3.19,25,31.91,16,False,False,False,False,False,True,False,False,False,False,False,True,7.8,1,8,P00014,2025-01-28T16:06
2.59,23,9.4,21,False,False,False,False,False,False,True,False,False,False,False,True,5.96,1,4,P00015,2025-01-01T21:30
11.61,38,6.03,23,False,False,False,False,False,False,False,True,False,False,False,False,2.96,1,1,P00016,2025-01-05T23:24
11.13,22,20.14,6,False,False,False,True,False,False,False,False,False,False,False,True,0.67,1,2,P00017,2025-01-28T06:08
13.68,42,24.95,8,False,False,False,False,True,False,False,False,False,False,False,True,34.11,1,3,P00018,2025-01-29T08:03
46.64,77,117.93,4,True,False,False,False,False,False,False,False,False,False,False,False,15.58,1,7,P00019,2025-01-23T04:18
13.69,46,15.87,6,False,False,False,False,False,False,False,False,False,False,True,False,6.6,1,5,P00020,2025-01-18T06:42
12.72,26,28.31,3,False,False,False,False,False,True,False,False,False,False,False,True,13.25,1,8,P00021,2025-01-25T03:08
8.45,46,14.24,14,False,False,False,False,False,False,True,False,False,False,False,True,11.34,1,5,P00022,2025-01-04T14:19
1.65,36,7.41,18,False,False,False,False,False,False,False,False,True,False,False,True,4.7,1,1,P00023,2025-01-20T18:50
4.05,44,31.94,2,True,False,False,False,False,False,False,False,False,False,False,False,4.79,1,3,P00024,2025-01-01T02:51
0.96,25,6.05,1,False,False,False,False,False,True,False,False,False,False,False,True,4.41,1,1,P00025,2025-01-27T01:35
3.13,25,6.72,12,False,True,False,False,False,False,False,False,False,False,False,False,2.25,1,1,P00026,2025-01-18T12:58
31.93,26,19.61,20,False,False,False,False,False,False,True,False,False,False,False,True,24.67,1,2,P00027,2025-01-24T20:25
2.93,28,7.12,2,False,False,False,False,False,False,False,False,True,False,False,True,0.69,1,1,P00028,2025-01-02T02:14
39.79,69,98.79,12,False,False,False,False,False,False,False,False,False,True,False,False,23.82,1,7,P00029,2025-01-25T12:51
14.26,60,27.73,8,True,False,False,False,False,False,False,False,False,False,False,False,7.12,1,3,P00030,2025-01-16T08:07
11.15,31,19.5,12,False,False,False,True,False,False,False,False,False,False,False,True,6.84,1,5,P00031,2025-01-14T12:51
10.54,33,7.67,22,False,False,False,False,True,False,False,False,False,False,False,True,0.89,0,1,P00032,2025-01-26T22:51
10.78,33,18.5,22,False,False,False,False,False,False,False,False,False,False,True,False,8.52,1,5,P00033,2025-01-28T22:42
3.56,38,22.41,12,False,False,False,False,False,True,False,False,False,False,False,True,9.86,0,5,P00034,2025-01-08T12:25
2.69,15,12.84,21,False,False,True,False,False,False,False,False,False,False,False,True,5.89,0,2,P00035,2025-01-23T21:33
27.16,34,39.73,22,False,False,False,True,False,False,False,False,False,False,False,True,1.8,1,6,P00036,2025-01-23T22:46
4.89,45,13.14,16,False,False,False,False,False,False,True,False,False,False,False,True,5.68,1,3,P00037,2025-01-01T16:27
88.5,101,528.88,9,False,False,False,True,False,False,False,False,False,False,False,True,518.59,1,7,P00038,2025-01-01T09:22
8.09,30,4.98,0,False,False,False,False,False,False,False,True,False,False,False,False,1.21,1,1,P00039,2025-01-26T00:41
6.16,18,12.16,6,False,False,False,False,False,False,False,False,True,False,False,True,2.11,1,1,P00040,2025-01-08T06:54
2.18,17,8.59,15,False,False,False,False,False,False,False,False,False,False,True,False,5.24,1,2,P00041,2025-01-17T15:07
14.43,83,80.21,0,False,True,False,False,False,False,False,False,False,False,False,False,49.99,0,7,P00042,2025-01-26T00:06
15.43,35,23.45,3,False,False,False,False,False,False,False,True,False,False,False,False,8.9,1,3,P00043,2025-01-14T03:28
4.07,24,4.42,3,False,False,False,False,False,False,False,False,False,False,True,False,5.28,1,1,P00044,2025-01-29T03:06
3.75,27,7.09,14,False,False,False,False,True,False,False,False,False,False,False,True,11.08,1,1,P00045,2025-01-29T14:07
10.54,42,26.22,14,False,False,False,False,False,False,False,False,False,True,False,False,6.64,1,6,P00046,2025-01-10T14:47
16.26,94,73.02,19,False,False,False,False,False,False,False,True,False,False,False,False,146.32,1,7,P00047,2025-01-09T19:11
7.15,23,16.11,21,False,True,False,False,False,False,False,False,False,False,False,False,30.83,1,6,P00048,2025-01-10T21:40
2.11,34,12.15,9,False,False,False,True,False,False,False,False,False,False,False,True,6.81,0,1,P00049,2025-01-23T09:18
22.68,31,15.87,15,False,False,False,False,False,False,False,False,False,False,True,False,8.4,1,3,P00050,2025-01-20T15:37
14.96,41,18.19,1,False,False,False,False,True,False,False,False,False,False,False,True,11.06,0,3,P00051,2025-01-29T01:04
3.78,29,6.92,19,False,False,True,False,False,False,False,False,False,False,False,True,6.89,1,1,P00052,2025-01-07T19:03
1.51,23,6.11,20,True,False,False,False,False,False,False,False,False,False,False,False,2.19,1,4,P00053,2025-01-04T20:24
16.4,42,24.56,6,False,True,False,False,False,False,False,False,False,False,False,False,7.47,0,8,P00054,2025-01-11T06:13
0.87,20,12.13,21,False,False,False,False,False,False,True,False,False,False,False,True,4.85,1,9,P00055,2025-01-20T21:40
0.82,25,16.17,2,False,False,False,True,False,False,False,False,False,False,False,True,8.65,1,2,P00056,2025-01-22T02:34
1.55,43,33.97,19,False,False,False,False,False,False,False,False,False,True,False,False,9.81,0,6,P00057,2025-01-17T19:14
9.03,32,22.81,21,False,False,False,False,False,False,False,True,False,False,False,False,8.56,1,5,P00058,2025-01-28T21:47
10.71,58,24.33,5,True,False,False,False,False,False,False,False,False,False,False,False,7.72,1,3,P00059,2025-01-08T05:42
20.9,38,30.01,16,True,False,False,False,False,False,False,False,False,False,False,False,45.1,1,6,P00060,2025-01-26T16:12
1.01,26,4.85,21,False,False,False,False,False,False,False,True,False,False,False,False,2.07,0,1,P00061,2025-01-15T21:58
2.96,22,13.66,23,False,False,True,False,False,False,False,False,False,False,False,True,8.34,1,4,P00062,2025-01-15T23:05
13.55,25,16.58,15,False,True,False,False,False,False,False,False,False,False,False,False,2.64,1,2,P00063,2025-01-19T15:40
1.96,24,13.04,20,False,False,False,False,False,True,False,False,False,False,False,True,7.1,1,9,P00064,2025-01-09T20:39
1.86,11,5.88,23,False,False,False,False,False,False,False,False,False,False,False,True,2.19,1,1,P00065,2025-01-29T23:02
11.61,35,22.89,18,False,True,False,False,False,False,False,False,False,False,False,False,17.08,1,5,P00066,2025-01-04T18:39
14.65,41,17.37,12,False,False,False,False,False,False,False,False,False,True,False,False,3.5,1,3,P00067,2025-01-04T12:11
7.03,36,25.25,8,False,False,False,False,False,False,False,True,False,False,False,False,8.1,1,3,P00068,2025-01-15T08:00
0.66,27,7.34,0,False,False,False,True,False,False,False,False,False,False,False,True,1.82,1,1,P00069,2025-01-03T00:13
3.03,16,18.42,12,False,False,False,False,True,False,False,False,False,False,False,True,7.83,1,2,P00070,2025-01-06T12:47
2.55,18,22.07,19,False,False,False,False,False,False,False,False,False,False,True,False,5.77,0,2,P00071,2025-01-17T19:10
7.87,66,22.6,7,False,False,False,False,False,False,False,False,False,False,False,True,15.57,0,3,P00072,2025-01-19T07:14
23.2,55,20.88,6,False,False,False,False,False,False,False,False,False,False,False,True,2.37,0,5,P00073,2025-01-06T06:33
19.32,40,19.79,4,False,False,False,False,False,False,True,False,False,False,False,True,15.17,1,3,P00074,2025-01-02T04:26
9.82,65,28.49,19,True,False,False,False,False,False,False,False,False,False,False,False,14.39,1,3,P00075,2025-01-02T19:06
7.73,26,14.88,22,False,False,False,False,False,False,False,False,True,False,False,True,3.16,1,8,P00076,2025-01-16T22:04
4.82,28,8.33,18,False,False,False,True,False,False,False,False,False,False,False,True,0.98,0,1,P00077,2025-01-17T18:47
14.6,54,24.99,15,True,False,False,False,False,False,False,False,False,False,False,False,20.31,1,3,P00078,2025-01-18T15:05
9.53,22,17.39,9,False,False,True,False,False,False,False,False,False,False,False,True,0.95,1,2,P00079,2025-01-11T09:27
11.84,44,21.86,11,False,False,False,False,False,False,True,False,False,False,False,True,12.66,1,3,P00080,2025-01-04T11:29
152.82,99,102.73,7,False,False,False,False,False,False,False,False,False,True,False,False,10.78,1,7,P00081,2025-01-05T07:04
11.87,85,62.84,10,False,False,False,False,False,False,False,False,False,False,True,False,47.86,1,7,P00082,2025-01-23T10:12
5.61,61,25.56,7,False,False,False,False,False,False,False,False,True,False,False,True,18.15,1,3,P00083,2025-01-23T07:06
6.14,26,20.19,4,False,False,False,False,False,False,False,False,True,False,False,True,16.54,1,2,P00084,2025-01-12T04:16
8.78,17,10.66,5,False,False,False,False,False,False,False,False,False,True,False,False,2.93,1,2,P00085,2025-01-22T05:57
11.24,27,9.38,8,False,False,False,False,False,False,False,False,False,False,True,False,1.14,1,1,P00086,2025-01-08T08:40
13.65,51,22.52,2,False,False,False,False,False,False,False,False,False,False,True,False,19.61,1,3,P00087,2025-01-12T02:51
31.2,54,24.2,19,False,False,False,True,False,False,False,False,False,False,False,True,9.59,1,3,P00088,2025-01-28T19:53
0.51,17,5.59,10,False,False,False,False,False,False,False,False,False,True,False,False,4.31,1,1,P00089,2025-01-16T10:30
18.37,50,19.19,3,False,False,False,True,False,False,False,False,False,False,False,True,10.15,1,3,P00090,2025-01-20T03:40
5.14,24,8.35,16,False,False,False,True,False,False,False,False,False,False,False,True,1.95,1,1,P00091,2025-01-03T16:16
27.38,39,29.45,17,True,False,False,False,False,False,False,False,False,False,False,False,11.86,1,6,P00092,2025-01-26T17:08
7.52,29,8.13,9,False,False,False,False,False,True,False,False,False,False,False,True,4.23,1,1,P00093,2025-01-21T09:47
4.47,12,9.64,22,False,False,False,False,False,False,False,False,True,False,False,True,10.54,1,2,P00094,2025-01-14T22:33
22.56,24,14.31,22,False,False,False,False,False,False,True,False,False,False,False,True,1.74,1,2,P00095,2025-01-24T22:52
309.21,74,475.62,4,False,False,False,True,False,False,False,False,False,False,False,True,320.75,1,7,P00096,2025-01-19T04:14
16.74,39,33.99,20,False,False,False,True,False,False,False,False,False,False,False,True,17.95,1,6,P00097,2025-01-10T20:14
15.34,41,29.81,11,False,False,False,False,True,False,False,False,False,False,False,True,3.26,1,3,P00098,2025-01-30T11:04
0.81,18,6.96,3,False,False,False,False,False,False,False,False,False,False,False,True,2.82,1,1,P00099,2025-01-08T03:19
1.9,31,17.49,11,False,False,False,False,False,False,False,False,True,False,False,True,7.2,1,5,P00100,2025-01-24T11:25
5.1,24,5.0,23,False,True,False,False,False,False,False,False,False,False,False,False,0.5,1,4,P00101,2025-01-01T23:48
8.62,39,26.55,18,True,False,False,False,False,False,False,False,False,False,False,False,11.66,1,6,P00102,2025-01-30T18:18
0.87,29,6.44,3,False,False,False,False,False,False,True,False,False,False,False,True,3.61,0,1,P00103,2025-01-09T03:27
6.7,14,25.37,17,False,False,True,False,False,False,False,False,False,False,False,True,1.77,1,2,P00104,2025-01-27T17:55
4.17,35,6.05,6,False,False,False,False,False,False,False,False,False,True,False,False,6.77,1,4,P00105,2025-01-18T06:10
16.45,23,21.8,8,False,False,False,False,False,False,False,True,False,False,False,False,0.54,0,2,P00106,2025-01-23T08:05
12.47,27,17.88,20,False,False,False,False,False,True,False,False,False,False,False,True,5.06,1,2,P00107,2025-01-29T20:56
6.23,31,16.46,12,False,True,False,False,False,False,False,False,False,False,False,False,8.37,1,5,P00108,2025-01-06T12:43
0.5,25,4.0,12,False,False,False,False,False,False,False,False,False,False,True,False,4.8,1,4,P00109,2025-01-04T12:31
3.87,24,9.51,2,False,False,False,False,False,True,False,False,False,False,False,True,12.0,1,4,P00110,2025-01-10T02:16
3.1,16,14.21,4,False,False,False,False,False,False,False,False,False,False,True,False,6.07,1,2,P00111,2025-01-13T04:58
3.83,86,97.65,10,False,False,False,False,False,False,False,True,False,False,False,False,8.04,0,7,P00112,2025-01-13T10:02
