passenger_id,airport,flight_type,entry_time,current_step,time_spent_current_step,active_users_in_step,avg_step_duration,target_time_remaining,event_observed
P00001,FRA,international,2025-01-03T18:34,7,240.06,94,673.05,18.61,1
P00002,FCO,international,2025-01-14T04:22,5,6.36,45,19.96,18.62,1
P00003,CDG,domestic,2025-01-22T08:30,7,39.43,91,109.23,28.52,0
P00004,LYS,domestic,2025-01-30T19:05,1,3.28,32,6.12,1.75,1
P00005,MAD,international,2025-01-14T19:18,2,5.38,27,19.47,11.39,0
P00006,LHR,international,2025-01-12T12:08,1,2.89,33,9.94,3.21,1
P00007,FRA,international,2025-01-24T07:17,3,20.25,48,30.67,4.5,1
P00008,LHR,international,2025-01-01T03:01,6,19.61,22,31.25,5.45,1
P00009,MAD,international,2025-01-22T03:52,2,8.5,17,12.72,13.13,1
P00010,FCO,international,2025-01-16T08:08,8,25.74,32,26.85,2.17,1
P00011,ORY,domestic,2025-01-14T21:39,2,2.86,22,12.47,10.8,1
P00012,FRA,international,2025-01-14T03:21,5,1.64,25,13.75,17.1,1
P00013,NCE,domestic,2025-01-24T04:05,5,1.46,36,23.88,19.19,1
P00014,JFK,international,2025-01-28T16:06,8,3.19,25,31.91,7.8,1
P00015,LHR,international,2025-01-01T21:30,4,2.59,23,9.4,5.96,1
P00016,LYS,domestic,2025-01-05T23:24,1,11.61,38,6.03,2.96,1
P00017,FCO,international,2025-01-28T06:08,2,11.13,22,20.14,0.67,1
P00018,FRA,international,2025-01-29T08:03,3,13.68,42,24.95,34.11,1
P00019,BOD,domestic,2025-01-23T04:18,7,46.64,77,117.93,15.58,1
P00020,ORY,domestic,2025-01-18T06:42,5,13.69,46,15.87,6.6,1
P00021,JFK,international,2025-01-25T03:08,8,12.72,26,28.31,13.25,1
P00022,LHR,international,2025-01-04T14:19,5,8.45,46,14.24,11.34,1
P00023,MAD,international,2025-01-20T18:50,1,1.65,36,7.41,4.7,1
P00024,BOD,domestic,2025-01-01T02:51,3,4.05,44,31.94,4.79,1
P00025,JFK,international,2025-01-27T01:35,1,0.96,25,6.05,4.41,1
P00026,CDG,domestic,2025-01-18T12:58,1,3.13,25,6.72,2.25,1
P00027,LHR,international,2025-01-24T20:25,2,31.93,26,19.61,24.67,1
P00028,MAD,international,2025-01-02T02:14,1,2.93,28,7.12,0.69,1
P00029,NCE,domestic,2025-01-25T12:51,7,39.79,69,98.79,23.82,1
P00030,BOD,domestic,2025-01-16T08:07,3,14.26,60,27.73,7.12,1
P00031,FCO,international,2025-01-14T12:51,5,11.15,31,19.5,6.84,1
P00032,FRA,international,2025-01-26T22:51,1,10.54,33,7.67,0.89,0
P00033,ORY,domestic,2025-01-28T22:42,5,10.78,33,18.5,8.52,1
P00034,JFK,international,2025-01-08T12:25,5,3.56,38,22.41,9.86,0
P00035,DXB,international,2025-01-23T21:33,2,2.69,15,12.84,5.89,0
P00036,FCO,international,2025-01-23T22:46,6,27.16,34,39.73,1.8,1
P00037,LHR,international,2025-01-01T16:27,3,4.89,45,13.14,5.68,1
P00038,FCO,international,2025-01-01T09:22,7,88.5,101,528.88,518.59,1
P00039,LYS,domestic,2025-01-26T00:41,1,8.09,30,4.98,1.21,1
P00040,MAD,international,2025-01-08T06:54,1,6.16,18,12.16,2.11,1
P00041,ORY,domestic,2025-01-17T15:07,2,2.18,17,8.59,5.24,1
P00042,CDG,domestic,2025-01-26T00:06,7,14.43,83,80.21,49.99,0
P00043,LYS,domestic,2025-01-14T03:28,3,15.43,35,23.45,8.9,1
P00044,ORY,domestic,2025-01-29T03:06,1,4.07,24,4.42,5.28,1
P00045,FRA,international,2025-01-29T14:07,1,3.75,27,7.09,11.08,1
P00046,NCE,domestic,2025-01-10T14:47,6,10.54,42,26.22,6.64,1
P00047,LYS,domestic,2025-01-09T19:11,7,16.26,94,73.02,146.32,1
P00048,CDG,domestic,2025-01-10T21:40,6,7.15,23,16.11,30.83,1
P00049,FCO,international,2025-01-23T09:18,1,2.11,34,12.15,6.81,0
P00050,ORY,domestic,2025-01-20T15:37,3,22.68,31,15.87,8.4,1
P00051,FRA,international,2025-01-29T01:04,3,14.96,41,18.19,11.06,0
P00052,DXB,international,2025-01-07T19:03,1,3.78,29,6.92,6.89,1
P00053,BOD,domestic,2025-01-04T20:24,4,1.51,23,6.11,2.19,1
P00054,CDG,domestic,2025-01-11T06:13,8,16.4,42,24.56,7.47,0
P00055,LHR,international,2025-01-20T21:40,9,0.87,20,12.13,4.85,1
P00056,FCO,international,2025-01-22T02:34,2,0.82,25,16.17,8.65,1
P00057,NCE,domestic,2025-01-17T19:14,6,1.55,43,33.97,9.81,0
P00058,LYS,domestic,2025-01-28T21:47,5,9.03,32,22.81,8.56,1
P00059,BOD,domestic,2025-01-08T05:42,3,10.71,58,24.33,7.72,1
P00060,BOD,domestic,2025-01-26T16:12,6,20.9,38,30.01,45.1,1
P00061,LYS,domestic,2025-01-15T21:58,1,1.01,26,4.85,2.07,0
P00062,DXB,international,2025-01-15T23:05,4,2.96,22,13.66,8.34,1
P00063,CDG,domestic,2025-01-19T15:40,2,13.55,25,16.58,2.64,1
P00064,JFK,international,2025-01-09T20:39,9,1.96,24,13.04,7.1,1
P00065,AMS,international,2025-01-29T23:02,1,1.86,11,5.88,2.19,1
P00066,CDG,domestic,2025-01-04T18:39,5,11.61,35,22.89,17.08,1
P00067,NCE,domestic,2025-01-04T12:11,3,14.65,41,17.37,3.5,1
P00068,LYS,domestic,2025-01-15T08:00,3,7.03,36,25.25,8.1,1
P00069,FCO,international,2025-01-03T00:13,1,0.66,27,7.34,1.82,1
P00070,FRA,international,2025-01-06T12:47,2,3.03,16,18.42,7.83,1
P00071,ORY,domestic,2025-01-17T19:10,2,2.55,18,22.07,5.77,0
P00072,AMS,international,2025-01-19T07:14,3,7.87,66,22.6,15.57,0
P00073,AMS,international,2025-01-06T06:33,5,23.2,55,20.88,2.37,0
P00074,LHR,international,2025-01-02T04:26,3,19.32,40,19.79,15.17,1
P00075,BOD,domestic,2025-01-02T19:06,3,9.82,65,28.49,14.39,1
P00076,MAD,international,2025-01-16T22:04,8,7.73,26,14.88,3.16,1
P00077,FCO,international,2025-01-17T18:47,1,4.82,28,8.33,0.98,0
P00078,BOD,domestic,2025-01-18T15:05,3,14.6,54,24.99,20.31,1
P00079,DXB,international,2025-01-11T09:27,2,9.53,22,17.39,0.95,1
